IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
44.243.212.167,443,443,true,SEA,North America,US,Seattle,438,7.38
34.210.61.223,443,443,true,PDX,North America,US,Portland,239,7.37
3.138.202.138,443,443,true,YYZ,North America,CA,Toronto,242,7.37
44.223.43.13,443,443,true,IAD,North America,US,Ashburn,350,7.37
3.22.241.99,443,443,true,CMH,North America,US,Columbus,392,7.37
98.83.43.117,443,443,true,IAD,North America,US,Ashburn,355,7.37
54.149.11.131,80,443,true,PDX,North America,US,Portland,256,7.37
18.218.214.187,443,443,true,YYZ,North America,CA,Toronto,311,7.37
35.87.44.227,443,443,true,PDX,North America,US,Portland,222,7.36
35.179.164.123,443,443,true,LHR,Europe,GB,London,272,7.36
44.243.245.43,443,443,true,PDX,North America,US,Portland,325,7.35
18.221.62.181,443,443,true,YYZ,North America,CA,Toronto,353,7.35
44.220.43.86,443,443,true,IAD,North America,US,Ashburn,262,7.35
35.173.42.50,443,443,true,IAD,North America,US,Ashburn,236,7.35
54.191.65.215,443,443,true,SEA,North America,US,Seattle,236,7.35
52.14.51.207,443,443,true,YYZ,North America,CA,Toronto,240,7.35
54.191.65.60,443,443,true,PDX,North America,US,Portland,324,7.35
44.213.62.77,443,443,true,IAD,North America,US,Ashburn,326,7.35
34.211.243.166,80,443,true,PDX,North America,US,Portland,265,7.34
44.192.20.220,443,443,true,IAD,North America,US,Ashburn,245,7.34
52.10.78.7,443,443,true,PDX,North America,US,Portland,293,7.34
